ID	REFSEQ	GENE_SYMBOL	GENE_NAME	ENSEMBL_ID
ERCC-00134_68				
A_24_P110831		ANO1	anoctamin 1, calcium activated chloride channel	ENST00000316296
A_23_P135669	NM_030958	SLCO5A1	solute carrier organic anion transporter family, member 5A1	ENST00000526750
A_23_P83184	NM_198946	LCN6	lipocalin 6	ENST00000341206
A_23_P12816	NM_018063	HELLS	helicase, lymphoid-specific	ENST00000371332
A_21_P0007598		XLOC_009826		
A_33_P3225106		SLITRK2	SLIT and NTRK-like family, member 2	ENST00000370490
A_21_P0007285		XLOC_009303		
A_24_P388528	NM_173216	ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	ENST00000470633
A_21_P0003137	NM_001190470	MTRNR2L2	MT-RNR2-like 2	ENST00000536684
A_23_P360990	NM_138812	DYDC1	DPY30 domain containing 1	ENST00000454362
A_33_P3229012	XM_001719844	LOC652586	uncharacterized LOC652586	
A_33_P3349774	NM_144703	LSM14B	LSM14B, SCD6 homolog B (S. cerevisiae)	ENST00000370906
A_21_P0014097	XR_108424	LOC100507380	uncharacterized LOC100507380	
A_23_P120103	NM_002252	KCNS3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	ENST00000403915
A_33_P3483909				ENST00000355500
A_33_P3247252				
A_23_P158829	NM_004313	ARRB2	arrestin, beta 2	ENST00000269260
A_33_P3409553				
A_23_P398275	NR_027001	LOC388152	uncharacterized LOC388152	
A_21_P0010988		XLOC_l2_002423		
A_33_P3225327	NM_024524	ATP13A3	ATPase type 13A3	ENST00000310773
A_33_P3276630		DYNLRB2	dynein, light chain, roadblock-type 2	ENST00000338542
A_19_P00316657		P06788		
A_23_P108492	NM_138395	MARS2	methionyl-tRNA synthetase 2, mitochondrial	ENST00000499940
A_33_P3392092	NM_001099733	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	ENST00000400219
A_23_P430411		ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	ENST00000545414
A_21_P0003293		XLOC_003211		
A_33_P3240497				
A_23_P136413	NM_016155	MMP17	matrix metallopeptidase 17 (membrane-inserted)	ENST00000360564
A_23_P1173	NM_004132	HABP2	hyaluronan binding protein 2	ENST00000351270
A_21_P0002846		XLOC_003093		ENST00000456335
A_23_P111132	NM_005345	HSPA1A	heat shock 70kDa protein 1A	ENST00000375651
A_32_P157213				
A_33_P3227934		LOC100130430	uncharacterized LOC100130430	
A_33_P3531373		LOC340340	uncharacterized LOC340340	
A_23_P9362	NM_002799	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7	ENST00000259457
ERCC-00012_90				
ERCC-00041_75				
A_23_P59285	NM_004752	GCM2	glial cells missing homolog 2 (Drosophila)	ENST00000379491
A_21_P0009319		XLOC_012457		
A_23_P88249	NM_001077351	RBM23	RNA binding motif protein 23	ENST00000346528
A_23_P93217	NM_153320	SLC22A7	solute carrier family 22 (organic anion transporter), member 7	ENST00000436107
A_33_P3274851	NM_001862	COX5B	cytochrome c oxidase subunit Vb	ENST00000491989
A_23_P103631	NM_006824	EBNA1BP2	EBNA1 binding protein 2	ENST00000236051
A_23_P89431	NM_002982	CCL2	chemokine (C-C motif) ligand 2	ENST00000225831
A_33_P3233565	NM_000375	UROS	uroporphyrinogen III synthase	ENST00000420761
ERCC-00003_63				
A_21_P0001079		XLOC_000625		
A_21_P0006126		XLOC_007281		
A_19_P00318679		XLOC_011510		
A_21_P0006099		XLOC_007819		ENST00000446206
A_21_P0007864		XLOC_009948		
A_23_P115366	NM_016308	CMPK1	cytidine monophosphate (UMP-CMP) kinase 1, cytosolic	ENST00000371873
A_33_P3387115				ENST00000409845
A_23_P49338	NM_016639	TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A	ENST00000341627
A_21_P0010751		XLOC_l2_000727		ENST00000447500
A_23_P118690	NM_001032293	ZNF207	zinc finger protein 207	ENST00000394673
A_33_P3252043	NM_000918	P4HB	prolyl 4-hydroxylase, beta polypeptide	ENST00000331483
A_33_P3240602		IGFL2	IGF-like family member 2	
A_23_P163161	NM_020195	SDR39U1	short chain dehydrogenase/reductase family 39U, member 1	ENST00000556707
A_23_P120414	NM_003404	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	ENST00000372839
A_24_P106624	NM_005924	MEOX2	mesenchyme homeobox 2	ENST00000262041
A_33_P3332126		SCLY	selenocysteine lyase	ENST00000409736
A_19_P00319311		Q7VLF4		
A_21_P0001413		XLOC_000545		
A_33_P3340961		SH3GL3	SH3-domain GRB2-like 3	
A_23_P104054	NM_016227	C1orf9	chromosome 1 open reading frame 9	ENST00000367723
A_21_P0000673	NR_036753	ZNF847P	zinc finger protein 847, pseudogene	
A_23_P11279	NM_018466	ALG13	asparagine-linked glycosylation 13 homolog (S. cerevisiae)	
A_21_P0002608		XLOC_001641		
A_21_P0000197	NM_021064	HIST1H2AG	histone cluster 1, H2ag	
A_21_P0006461		XLOC_008221		ENST00000454625
A_23_P113393	NM_017413	APLN	apelin	ENST00000307484
A_21_P0014260	XR_109037	LOC100507109	uncharacterized LOC100507109	
A_23_P168229	NM_030810	TXNDC5	thioredoxin domain containing 5 (endoplasmic reticulum)	ENST00000439343
A_21_P0013461		XLOC_l2_014077		ENST00000458645
A_24_P343095	NM_000791	DHFR	dihydrofolate reductase	
A_24_P302695	NM_145212	MRPL30	mitochondrial ribosomal protein L30	ENST00000465432
A_33_P3344991		TBC1D3	TBC1 domain family, member 3	ENST00000519496
ERCC-00154_60				
A_24_P79617	NM_014656	KIAA0040	KIAA0040	
A_23_P31798	NM_000015	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	ENST00000286479
A_19_P00319561	NR_024582	JPX		
A_23_P93623	NM_004231	ATP6V1F	ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F	ENST00000249289
A_21_P0007220		SYT12	synaptotagmin XII	ENST00000393946
A_21_P0003682		ADAM29	ADAM metallopeptidase domain 29	ENST00000507969
A_21_P0001263		XLOC_000055		
A_21_P0006801		XLOC_008989		ENST00000454492
A_33_P3367301	NM_152219	GJD3	gap junction protein, delta 3, 31.9kDa	
A_23_P118435	NM_006937	SUMO2	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae)	ENST00000508743
A_24_P117029	NM_000527	LDLR	low density lipoprotein receptor	
ERCC-00077_121				
A_21_P0014840	XR_132706	LOC100507630	uncharacterized LOC100507630	
A_33_P3314421				
A_21_P0009454		XLOC_012625		
A_23_P361940	NM_003874	CD84	CD84 molecule	
A_23_P108922		MOB1A	MOB kinase activator 1A	ENST00000396049
A_21_P0013778		XLOC_l2_015578		ENST00000423738
A_23_P107073	NM_002945	RPA1	replication protein A1, 70kDa	ENST00000254719
A_23_P138680	NM_172200	IL15RA	interleukin 15 receptor, alpha	ENST00000379972
A_19_P00317872	NR_003367	PVT1		
A_23_P52058	NM_005646	TARBP1	TAR (HIV-1) RNA binding protein 1	ENST00000471918
A_21_P0007884		XLOC_010135		
A_21_P0013133		XLOC_l2_012605		ENST00000435946
A_23_P115036	NM_014652	IPO13	importin 13	ENST00000372339
A_21_P0008970		XLOC_011789		
A_23_P64712	NM_024809	TCTN2	tectonic family member 2	ENST00000426174
A_23_P121695	NM_006419	CXCL13	chemokine (C-X-C motif) ligand 13	ENST00000286758
ERCC-00168_248				
A_33_P3418130	NM_145052	UPRT	uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)	ENST00000373373
A_19_P00800006		Q59GX9		
A_21_P0008531		XLOC_010996		
A_21_P0001992		XLOC_001947		ENST00000437610
A_23_P410224	NM_001145020	C6orf52	chromosome 6 open reading frame 52	ENST00000379586
A_21_P0011031		XLOC_l2_002729		ENST00000513207
A_33_P3415596		LOC400499	uncharacterized LOC400499	
A_32_P516818	NM_001243729	C3orf55	chromosome 3 open reading frame 55	ENST00000312275
A_32_P528967	NM_153708	RTP1	receptor (chemosensory) transporter protein 1	ENST00000312295
A_23_P94819	NM_006987	RPH3AL	rabphilin 3A-like (without C2 domains)	
A_33_P3360555	NM_018337	ZNF444	zinc finger protein 444	ENST00000337080
A_21_P0012785		1/2-SBSRNA4	lncRNA_BC009800	
ERCC-00117_139				
ERCC-00051_60				
A_33_P3344690	NR_024496	LOC442421	uncharacterized LOC442421	
A_33_P3254096	NM_015886	PI15	peptidase inhibitor 15	ENST00000260113
A_24_P366607	NM_203451	SERTM1	serine-rich and transmembrane domain containing 1	ENST00000315190
A_23_P500799	NM_001226	CASP6	caspase 6, apoptosis-related cysteine peptidase	ENST00000505117
A_23_P366098	NM_207308	NUP210L	nucleoporin 210kDa-like	ENST00000271854
A_33_P3404546	NM_001098623	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	ENST00000441106
A_23_P82523	NM_000927	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	ENST00000475929
A_21_P0000536	NM_147128	ZNRF2	zinc and ring finger 2	ENST00000323037
A_33_P3281139		ZC3H13	zinc finger CCCH-type containing 13	ENST00000378921
A_23_P500130	NM_153186	KANK1	KN motif and ankyrin repeat domains 1	ENST00000382289
A_33_P3548190	NR_034024	LINC00347	long intergenic non-protein coding RNA 347	
A_23_P216017	NM_004901	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	ENST00000523958
A_32_P440768	NR_002710	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	
A_33_P3395369	NM_001634	AMD1	adenosylmethionine decarboxylase 1	ENST00000368877
A_24_P62615	NM_006367	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	ENST00000372792
A_32_P72341	NM_173084	TRIM59	tripartite motif containing 59	ENST00000309784
A_23_P309701	NM_002828	PTPN2	protein tyrosine phosphatase, non-receptor type 2	ENST00000309660
A_21_P0013984	NM_001005353	AK4	adenylate kinase 4	ENST00000438686
A_33_P3271990	NM_012079	DGAT1	diacylglycerol O-acyltransferase 1	ENST00000525023
A_23_P100203	NM_001537	HSBP1	heat shock factor binding protein 1	ENST00000433866
A_21_P0006739		XLOC_008745		ENST00000433460
A_21_P0004477		XLOC_005110		
A_21_P0002736		XLOC_002612		ENST00000424786
A_23_P375566	NM_178509	STXBP4	syntaxin binding protein 4	ENST00000299341
A_23_P100392	NM_007108	TCEB2	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)	ENST00000409906
A_23_P161446	NM_001494	GDI2	GDP dissociation inhibitor 2	ENST00000479928
A_33_P3233978	NM_178150	FBXO18	F-box protein, helicase, 18	ENST00000544954
A_21_P0002073		XLOC_002217		ENST00000422600
A_33_P3239152	NM_024816	RABEP2	rabaptin, RAB GTPase binding effector protein 2	ENST00000358201
A_23_P156319	NM_015315	LARP1	La ribonucleoprotein domain family, member 1	ENST00000336314
A_23_P106933	NM_052956	ACSM1	acyl-CoA synthetase medium-chain family member 1	ENST00000520010
A_33_P3385782	NM_182633	ZNF713	zinc finger protein 713	
A_33_P3284888	NM_198989	DLEU7	deleted in lymphocytic leukemia, 7	ENST00000335465
A_33_P3232280	NM_018164	C12orf11	chromosome 12 open reading frame 11	ENST00000261190
A_23_P50646	NM_001193621	LOC390940	uncharacterized protein ENSP00000244321	
A_33_P3306715	NM_001164446	C6orf132	chromosome 6 open reading frame 132	ENST00000341865
A_23_P117734	NM_152449	LYSMD4	LysM, putative peptidoglycan-binding, domain containing 4	ENST00000545021
A_21_P0007496	XR_110323	LOC100507498	uncharacterized LOC100507498	
ERCC-00158_78				
ERCC-00039_95				
ERCC-00054_84				
A_33_P3265394		WDR74	WD repeat domain 74	ENST00000538098
A_21_P0003753		XLOC_004023		
A_24_P658584	NM_015278	SASH1	SAM and SH3 domain containing 1	ENST00000367467
A_33_P3217356	NM_001194986	LOC388630	UPF0632 protein A	ENST00000371865
A_33_P3383226	NM_000174	GP9	glycoprotein IX (platelet)	ENST00000307395
A_23_P109877	NM_025222	WDR82	WD repeat domain 82	ENST00000487402
A_21_P0006314		XLOC_007835		
A_23_P209805	NM_005966	NAB1	NGFI-A binding protein 1 (EGR1 binding protein 1)	ENST00000409581
A_23_P406227	NR_024399	MGC23284	uncharacterized LOC197187	
A_24_P64167	NM_000962	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	ENST00000362012
A_23_P106617	NM_021197	WFDC1	WAP four-disulfide core domain 1	ENST00000219454
A_23_P25698	NM_003049	SLC10A1	solute carrier family 10 (sodium/bile acid cotransporter family), member 1	ENST00000216540
A_33_P3379701		TRIM36	tripartite motif containing 36	
A_33_P3423631	NM_007331	WHSC1	Wolf-Hirschhorn syndrome candidate 1	ENST00000420906
A_21_P0010708		XLOC_l2_000267		ENST00000424953
A_24_P289726	NM_002809	PSMD3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	ENST00000415039
A_21_P0003026		XLOC_002796		
A_23_P123539	NM_002717	PPP2R2A	protein phosphatase 2, regulatory subunit B, alpha	ENST00000517754
A_21_P0002017		XLOC_001992		ENST00000422996
A_21_P0012228		XLOC_l2_009180		ENST00000420186
A_23_P117546	NM_006939	SOS2	son of sevenless homolog 2 (Drosophila)	ENST00000216373
A_21_P0008862		XLOC_011545		
A_33_P3319463	NM_001145261	NCOA4	nuclear receptor coactivator 4	
A_33_P3304170	NM_002649	PIK3CG	phosphoinositide-3-kinase, catalytic, gamma polypeptide	ENST00000496166
A_21_P0006170		XLOC_007438		
A_21_P0004922		XLOC_005433		
A_33_P3227551		ZNF331	zinc finger protein 331	ENST00000509069
A_21_P0004015		XLOC_004426		ENST00000514661
A_23_P204208	NM_002262	KLRD1	killer cell lectin-like receptor subfamily D, member 1	ENST00000539374
A_33_P3227842	NM_001166006	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	ENST00000373797
A_21_P0008752		XLOC_011515		
A_33_P3397865	NM_003283	TNNT1	troponin T type 1 (skeletal, slow)	ENST00000291901
A_21_P0011774		TMEM221	transmembrane protein 221	
A_33_P3680462		LOC339539	uncharacterized LOC339539	
A_23_P123265	NM_015411	SUMF2	sulfatase modifying factor 2	
A_24_P694760	NM_178040	ERC1	ELKS/RAB6-interacting/CAST family member 1	
A_33_P3288294		FUT10	fucosyltransferase 10 (alpha (1,3) fucosyltransferase)	ENST00000335589
A_23_P115922	NM_004096	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	ENST00000373218
A_21_P0007191		XLOC_009100		
A_24_P316601	NM_001001938	C9orf47	chromosome 9 open reading frame 47	ENST00000375851
A_23_P323801	NM_032735	BEST3	bestrophin 3	ENST00000330891
A_23_P388124	NM_005164	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	
A_33_P3288110	NM_001005476	PKP4	plakophilin 4	ENST00000389756
A_33_P3256765	XM_001725877			ENST00000437135
A_21_P0003648		XLOC_003679		
A_33_P3316728				
A_33_P3238866	NM_016038	SBDS	Shwachman-Bodian-Diamond syndrome	ENST00000463579
A_21_P0001258		XLOC_000035		ENST00000420522
A_33_P3313025				
A_33_P3330811	NM_001099670	C8orf59	chromosome 8 open reading frame 59	
A_21_P0002999		XLOC_002731		
A_21_P0009279		XLOC_012317		
A_21_P0010920	NR_033407	CTSL1P2	cathepsin L1 pseudogene 2	
A_23_P8013	NM_003519	HIST1H2BL	histone cluster 1, H2bl	ENST00000377401
ERCC-00150_127				
A_21_P0013469	NR_040039	LOC157273	uncharacterized LOC157273	ENST00000520255
A_23_P110569	NM_018700	TRIM36	tripartite motif containing 36	ENST00000282369
A_21_P0012374	NM_005119	THRAP3	thyroid hormone receptor associated protein 3	ENST00000469141
A_23_P25503	NM_001079673	FNDC3A	fibronectin type III domain containing 3A	ENST00000398316
A_23_P23829	NM_001773	CD34	CD34 molecule	ENST00000356522
A_33_P3242416				
ERCC-00075_180				
A_33_P3267003				
A_33_P3221688				ENST00000418025
A_33_P3399778				
A_24_P246692				
A_21_P0005899		XLOC_007205		
A_23_P121253	NM_003810	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	ENST00000241261
A_23_P144394	NM_001891	CSN2	casein beta	ENST00000353151
A_33_P3254246	NM_198944	OR7C1	olfactory receptor, family 7, subfamily C, member 1	ENST00000248073
A_23_P149678	NM_006099	PIAS3	protein inhibitor of activated STAT, 3	ENST00000393045
A_21_P0012022		XLOC_l2_007543		
A_24_P331675	NM_006781	C6orf10	chromosome 6 open reading frame 10	ENST00000305725
A_33_P3408949		LOXHD1	lipoxygenase homology domains 1	ENST00000335730
A_24_P458252				
A_21_P0012676	NR_026575	GK3P	glycerol kinase 3 pseudogene	
A_21_P0002833		XLOC_003016		ENST00000418972
A_33_P3311863	NM_001242837	AP2A2	adaptor-related protein complex 2, alpha 2 subunit	ENST00000329626
A_33_P3275600	NM_001206670	PLA2G4E	phospholipase A2, group IVE	ENST00000413860
A_23_P402610	NM_012393	PFAS	phosphoribosylformylglycinamidine synthase	ENST00000546020
A_23_P105651	NM_013377	PDZRN4	PDZ domain containing ring finger 4	ENST00000402685
A_23_P205830	NM_025238	BTBD1	BTB (POZ) domain containing 1	ENST00000379403
A_33_P3324680				
A_21_P0000440	NR_003296	SNORD115-4	small nucleolar RNA, C/D box 115-4	
A_23_P83838	NM_004056	CA8	carbonic anhydrase VIII	
A_21_P0001526		XLOC_000893		
A_21_P0013813		XLOC_l2_015716		
A_33_P3388636		FLJ40606	uncharacterized LOC643549	
A_21_P0003243		XLOC_002730		
ERCC-00137_95				
ERCC-00002_129				
A_21_P0006525		XLOC_008111		
A_33_P3305203	XR_110237	LOC283588	uncharacterized LOC283588	
A_21_P0012141		XLOC_l2_008841		
A_24_P91916	NM_018698	NXT2	nuclear transport factor 2-like export factor 2	ENST00000218004
A_33_P3360412	NM_148920	PIGQ	phosphatidylinositol glycan anchor biosynthesis, class Q	ENST00000409439
A_19_P00810474	XM_003403479	LOC100652741		
A_23_P26928				ENST00000331733
A_23_P23296	NM_000299	PKP1	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)	ENST00000477817
A_21_P0006918		XLOC_008625		
A_23_P118894	NM_024320	PRR15L	proline rich 15-like	ENST00000300557
A_33_P3309999	NM_001013628	DCAF12L2	DDB1 and CUL4 associated factor 12-like 2	ENST00000360028
A_23_P160787	NM_004565	PEX14	peroxisomal biogenesis factor 14	ENST00000356607
A_24_P280803		RPS21	ribosomal protein S21	ENST00000492356
A_23_P111929	NM_016023	OTUD6B	OTU domain containing 6B	ENST00000524027
A_21_P0005755		XLOC_006905		
A_33_P3320241				
A_33_P3627001	NM_144962	PEBP4	phosphatidylethanolamine-binding protein 4	ENST00000256404
A_33_P3420941		LOC439950	uncharacterized LOC439950	
A_21_P0009475		XLOC_012667		
A_33_P3399263	NM_001243539	IL15RA	interleukin 15 receptor, alpha	ENST00000379972
A_23_P108932	NR_002229	RPL23AP32	ribosomal protein L23a pseudogene 32	
A_33_P3227899	NR_015361	LOC440896	uncharacterized LOC440896	ENST00000423390
A_33_P3264577	NM_004082	DCTN1	dynactin 1	
A_21_P0005398		XLOC_006166		
A_33_P3330872	NM_078629	MSL3	male-specific lethal 3 homolog (Drosophila)	ENST00000380692
A_24_P398432	NM_001040118	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	ENST00000541623
A_33_P3352283				ENST00000376005
A_33_P3311160				
A_33_P3297150				
A_24_P270460	NM_005532	IFI27	interferon, alpha-inducible protein 27	ENST00000555121
A_24_P942250	NM_025134	CHD9	chromodomain helicase DNA binding protein 9	ENST00000447540
A_32_P158786	NM_001170633	C12orf56	chromosome 12 open reading frame 56	ENST00000333722
A_21_P0003905		XLOC_004135		
A_23_P91590	NM_002882	RANBP1	RAN binding protein 1	ENST00000486575
A_33_P3309670	NM_020722	KIAA1211	KIAA1211	
A_32_P215318	NM_198839	ACACA	acetyl-CoA carboxylase alpha	ENST00000456561
(+)E1A_r60_a107				
A_33_P3362981	NM_018992	KCTD5	potassium channel tetramerisation domain containing 5	ENST00000301738
A_24_P102053	NM_002538	OCLN	occludin	
A_24_P606663				
A_23_P42588	NM_018384	GIMAP5	GTPase, IMAP family member 5	ENST00000447239
A_23_P80718	NM_144642	SYNPR	synaptoporin	ENST00000478300
A_33_P3372600	XR_109159	LOC100129119	uncharacterized LOC100129119	
A_33_P3350452				
A_33_P3401452	NM_032221	CHD6	chromodomain helicase DNA binding protein 6	ENST00000309279
A_33_P3414242	NM_001008229	MOG	myelin oligodendrocyte glycoprotein	
A_33_P3356525		FLJ45482	uncharacterized LOC645566	
A_33_P3260667	NM_001001821	OR2T34	olfactory receptor, family 2, subfamily T, member 34	ENST00000359594
A_21_P0013755	NM_014888	FAM3C	family with sequence similarity 3, member C	ENST00000359943
A_24_P185314	NM_003826	NAPG	N-ethylmaleimide-sensitive factor attachment protein, gamma	ENST00000322897
A_33_P3419632		GLB1L3	galactosidase, beta 1-like 3	ENST00000389887
A_21_P0010801		XLOC_l2_001421		
A_33_P3411338	NM_001977	ENPEP	glutamyl aminopeptidase (aminopeptidase A)	
A_24_P92367	NM_001017964	YDJC	YdjC homolog (bacterial)	ENST00000482998
ETG08_142674				
A_21_P0005086		XLOC_005919		
A_21_P0013125	NM_001190766	FLJ23152	uncharacterized LOC401236	
A_33_P3335735	NR_024559	LOC100128977	uncharacterized LOC100128977	
A_21_P0012108		XLOC_l2_008450		ENST00000438659
A_33_P3290924	NM_001172415	BAG1	BCL2-associated athanogene	ENST00000379700
A_21_P0003452		XLOC_003911		ENST00000503085
